dataset,method,k_pct,coverage,purity_ind,auc_purity,yield_b100,n_cases,max_case,med_case,n_capped,time_s
elliptic,WCC_only,0.01,0.2886,0.9886,0.9953,1.0,1118,127,2.0,3,0.03
elliptic,WCC_only,0.05,0.9072,0.6703,0.9408,1.0,4630,357,2.0,33,0.05
elliptic,WCC_only,0.1,0.8883,0.3179,0.6945,1.0,12461,445,2.0,35,0.13
elliptic,Leiden_flat,0.01,0.2886,0.9886,0.5022,0.52,1118,127,2.0,3,1.12
elliptic,Leiden_flat,0.05,0.9312,0.676,0.25,0.35,4632,279,2.0,35,4.64
elliptic,Leiden_flat,0.1,0.9006,0.3209,0.0895,0.4467,12462,308,2.0,36,13.51
elliptic,BTCS_v3,0.01,0.2886,0.9886,0.9953,1.0,1118,127,2.0,3,0.04
elliptic,BTCS_v3,0.05,0.9425,0.6775,0.9421,1.0,4712,277,2.0,31,0.37
elliptic,BTCS_v3,0.1,0.94,0.329,0.7006,1.0,12585,275,2.0,34,0.48
amazon_fraud,WCC_only,0.01,0.0005,1.0,0.5,1.0,1,44084,44084.0,1,1.38
amazon_fraud,Leiden_flat,0.01,0.0042,0.8052,0.0268,0.062,13,13044,1757.0,11,1.52
amazon_fraud,BTCS_v3,0.01,0.0312,0.6678,0.9299,0.9391,105,6611,400.0,102,14.11
yelp_fraud,WCC_only,0.01,0.0083,0.8419,0.9502,0.9686,702,4600,5.0,61,0.76
yelp_fraud,Leiden_flat,0.01,0.0112,0.8776,0.2351,0.48,730,2114,5.0,89,11.71
yelp_fraud,BTCS_v3,0.01,0.0524,0.6273,0.7185,0.9686,1853,428,46.0,556,1.67
bitcoin_otc,WCC_only,0.01,0.0775,0.8679,0.8173,0.8658,36,320,3.0,2,0.0
bitcoin_otc,WCC_only,0.05,0.0544,0.9151,0.5502,1.0,69,1790,2.0,1,0.01
bitcoin_otc,WCC_only,0.1,0.0539,0.9187,0.9562,0.9171,69,3568,2.0,1,0.01
bitcoin_otc,Leiden_flat,0.01,0.0836,0.7621,0.4146,0.435,41,291,3.0,1,0.01
bitcoin_otc,Leiden_flat,0.05,0.3157,0.8762,0.4029,0.495,82,693,2.0,11,0.03
bitcoin_otc,Leiden_flat,0.1,0.3135,0.8367,0.3091,0.48,84,836,2.0,12,0.06
bitcoin_otc,BTCS_v3,0.01,0.0629,0.7249,0.852,0.89,67,68,4.0,0,0.01
bitcoin_otc,BTCS_v3,0.05,0.2439,0.7008,0.8428,1.0,183,451,2.0,9,0.07
bitcoin_otc,BTCS_v3,0.1,0.3708,0.7258,0.9087,0.89,241,743,2.0,17,0.15
