dataset,method,k_pct,n_cases,coverage,yield_b100,auc_purity,time_s
elliptic_plus,BTCS_v3,0.01,2866,0.4998780586944151,1.0,0.9387966323570583,2.921656296995934
elliptic_plus,B0_Random,0.01,573,0.11755141858385497,0.6814084507042253,0.8896133148964402,0.3516072630009148
elliptic_plus,B1_WCC,0.01,1329,0.20017342763460966,1.0,0.9565268901580493,0.3840371469850652
elliptic_plus,B2_Louvain,0.01,1394,0.3437660894778202,1.0,0.9641929607285173,0.45953941901098005
elliptic_plus,BTCS_v3,0.05,28985,0.43354198845622305,0.96,0.5195550694875313,12.396702287980588
elliptic_plus,B0_Random,0.05,2868,0.11172533398368696,0.41400000000000003,0.25515300375004346,0.6959552849875763
elliptic_plus,B1_WCC,0.05,24572,0.09912473240657942,0.97,0.4482118286935926,0.9993825400015339
elliptic_plus,B2_Louvain,0.05,24693,0.2588407446549061,0.97,0.5249626707030147,1.5508683270018082
elliptic,BTCS_v3,0.01,1118,0.28864333947206877,1.0,0.995330192141183,0.06971602101111785
elliptic,B0_Random,0.01,46,0.14757519950890116,1.0,0.9891765796159809,0.022840881982119754
elliptic,B1_WCC,0.01,1118,0.28864333947206877,1.0,0.995330192141183,0.02879017501254566
elliptic,B2_Louvain,0.01,1118,0.28864333947206877,1.0,0.995330192141183,0.02906334202270955
elliptic,BTCS_v3,0.05,4712,0.9425414364640884,1.0,0.9421418238628361,0.33814510199590586
elliptic,B0_Random,0.05,234,0.28901166359729896,0.7880000000000001,0.6716184520430948,0.03627821899135597
elliptic,B1_WCC,0.05,4630,0.907182320441989,1.0,0.9407584560633024,0.08222031701006927
elliptic,B2_Louvain,0.05,4632,0.918109269490485,1.0,0.9409366274321355,0.07165118897682987
