dataset,method,k_pct,fraud_coverage,partition_coverage,yield_b100,auc_purity,n_cases,edges_max,edges_median,time_s
Elliptic,HGS_v1_baseline,1.0,0.28864333947206877,0.28864333947206877,1.0,0.9979989842062706,1118,68.0,1.0,0.1074
Elliptic,HGS_v2_NC,1.0,0.28864333947206877,0.28864333947206877,1.0,0.9979989842062706,1118,68.0,1.0,0.0384
Elliptic,HGS_v2_SW,1.0,0.28864333947206877,0.28864333947206877,1.0,0.9979989842062706,1118,68.0,1.0,0.0383
Elliptic,HGS_v2_BOTH,1.0,0.28864333947206877,0.28864333947206877,1.0,0.9979989842062706,1118,68.0,1.0,0.0387
Elliptic,HGS_v1_baseline,5.0,0.9425414364640884,0.9883364027010436,1.0,0.6862998030398547,4712,232.0,1.0,0.3792
Elliptic,HGS_v2_NC,5.0,0.9425414364640884,0.9883364027010436,1.0,0.6862998030398547,4712,232.0,1.0,0.4439
Elliptic,HGS_v2_SW,5.0,0.9334561080417434,0.9788827501534684,1.0,0.6861185413810225,4715,232.0,1.0,0.4917
Elliptic,HGS_v2_BOTH,5.0,0.9334561080417434,0.9788827501534684,1.0,0.6861185413810225,4715,232.0,1.0,0.4387
Bitcoin-OTC,HGS_v1_baseline,1.0,0.06286836935166994,0.06286836935166994,0.631578947368421,0.8215537502058127,67,39.0,2.0,0.0158
Bitcoin-OTC,HGS_v2_NC,1.0,0.06286836935166994,0.06286836935166994,0.631578947368421,0.8215537502058127,67,39.0,2.0,0.013
Bitcoin-OTC,HGS_v2_SW,1.0,0.06286836935166994,0.06286836935166994,0.631578947368421,0.8215537502058127,67,39.0,2.0,0.0141
Bitcoin-OTC,HGS_v2_BOTH,1.0,0.06286836935166994,0.06286836935166994,0.631578947368421,0.8215537502058127,67,39.0,2.0,0.0144
Bitcoin-OTC,HGS_v1_baseline,5.0,0.24389559360089813,0.30985124894751614,1.0,0.8005922291682441,183,453.0,1.0,0.1003
Bitcoin-OTC,HGS_v2_NC,5.0,0.24389559360089813,0.30985124894751614,1.0,0.8005922291682441,183,453.0,1.0,0.0795
Bitcoin-OTC,HGS_v2_SW,5.0,0.24389559360089813,0.30985124894751614,1.0,0.8005922291682441,183,453.0,1.0,0.0906
Bitcoin-OTC,HGS_v2_BOTH,5.0,0.24389559360089813,0.30985124894751614,1.0,0.8005922291682441,183,453.0,1.0,0.0897
